Month,Mean_Temperature
1916/10,-0.3742
1916/11,-0.46
1916/11,-0.514
1916/12,-0.82
1916/12,-0.8211
1917/01,-0.57
1917/01,-0.689
1917/02,-0.64
1917/02,-0.7158
1917/03,-0.64
1917/03,-0.7841
1917/04,-0.55
1917/04,-0.5459
1917/05,-0.55
1917/05,-0.6441
1917/06,-0.43
1917/06,-0.4787
1917/07,-0.25
1917/07,-0.2451
1917/08,-0.22
1917/08,-0.3326
1917/09,-0.23
1917/09,-0.2978
1917/10,-0.44
1917/10,-0.5354
1917/11,-0.34
1917/11,-0.459
1917/12,-0.68
1917/12,-0.7863
1918/01,-0.48
1918/01,-0.5178
1918/02,-0.34
1918/02,-0.672
1918/03,-0.25
1918/03,-0.5789
1918/04,-0.44
1918/04,-0.6232
1918/05,-0.43
1918/05,-0.525
1918/06,-0.36
1918/06,-0.3863
1918/07,-0.32
1918/07,-0.3694
1918/08,-0.32
1918/08,-0.4296
1918/09,-0.17
1918/09,-0.258
1918/10,-0.06
1918/10,-0.1187
1918/11,-0.12
1918/11,-0.1896
1918/12,-0.3
1918/12,-0.424
1919/01,-0.21
1919/01,-0.251
1919/02,-0.23
1919/02,-0.2418
1919/03,-0.21
1919/03,-0.3919
1919/04,-0.13
1919/04,-0.2112
1919/05,-0.28
1919/05,-0.3077
1919/06,-0.36
1919/06,-0.3575
1919/07,-0.29
1919/07,-0.2997
1919/08,-0.33
1919/08,-0.2379
1919/09,-0.25
1919/09,-0.2858
1919/10,-0.21
1919/10,-0.2586
1919/11,-0.42
1919/11,-0.5573
1919/12,-0.42
1919/12,-0.5031
